,units_ordered,dengue_index,flu_index,rainfall_mm,lead_time_days,stock_level_units,pharmacy_count_region,population_density_per_km2
units_ordered,1.0,0.06444762533281541,0.01807714900335341,0.2091817408100251,-0.46533411957927917,0.9040903236197438,0.804709988931703,0.7902733825731245
dengue_index,0.06444762533281541,1.0,-0.3195573801122165,0.08009117281055994,0.0477974826085689,0.08057632886384984,1.3254707360700737e-15,6.419932213745444e-16
flu_index,0.01807714900335341,-0.3195573801122165,1.0,0.10533142678802158,0.03375393146108852,0.03612734068137051,-7.25496200140589e-16,-4.4264093947537013e-16
rainfall_mm,0.2091817408100251,0.08009117281055994,0.10533142678802158,1.0,0.12280412291437842,0.17522575885869004,0.25044926076821256,0.30069052619022263
lead_time_days,-0.46533411957927917,0.0477974826085689,0.03375393146108852,0.12280412291437842,1.0,-0.33443977129517855,-0.607258231708363,-0.5931931532217815
stock_level_units,0.9040903236197438,0.08057632886384984,0.03612734068137051,0.17522575885869004,-0.33443977129517855,1.0,0.6634659224676371,0.6353183491049543
pharmacy_count_region,0.804709988931703,1.3254707360700737e-15,-7.25496200140589e-16,0.25044926076821256,-0.607258231708363,0.6634659224676371,1.0,0.9594070500048041
population_density_per_km2,0.7902733825731245,6.419932213745444e-16,-4.4264093947537013e-16,0.30069052619022263,-0.5931931532217815,0.6353183491049543,0.9594070500048041,1.0
