forecast_date,region,sku_id,medicine_name,category,prophet_forecast,xgb_forecast,ensemble_forecast,lower_bound,upper_bound
2025-01-05,Central,SKU001,Paracetamol 500mg,Antipyretic,648,574,615,583,712
2025-01-12,Central,SKU001,Paracetamol 500mg,Antipyretic,692,574,639,631,760
2025-01-19,Central,SKU001,Paracetamol 500mg,Antipyretic,715,574,651,653,777
2025-01-26,Central,SKU001,Paracetamol 500mg,Antipyretic,719,574,654,656,787
2025-01-05,Eastern,SKU001,Paracetamol 500mg,Antipyretic,309,335,321,265,354
2025-01-12,Eastern,SKU001,Paracetamol 500mg,Antipyretic,322,335,328,283,366
2025-01-19,Eastern,SKU001,Paracetamol 500mg,Antipyretic,342,335,339,296,384
2025-01-26,Eastern,SKU001,Paracetamol 500mg,Antipyretic,356,335,346,312,400
2025-01-05,North Central,SKU001,Paracetamol 500mg,Antipyretic,248,241,245,227,268
2025-01-12,North Central,SKU001,Paracetamol 500mg,Antipyretic,270,241,257,248,292
2025-01-19,North Central,SKU001,Paracetamol 500mg,Antipyretic,260,241,251,237,281
2025-01-26,North Central,SKU001,Paracetamol 500mg,Antipyretic,233,241,237,213,255
2025-01-05,North Western,SKU001,Paracetamol 500mg,Antipyretic,467,598,526,382,551
2025-01-12,North Western,SKU001,Paracetamol 500mg,Antipyretic,447,598,515,362,533
2025-01-19,North Western,SKU001,Paracetamol 500mg,Antipyretic,445,598,514,361,534
2025-01-26,North Western,SKU001,Paracetamol 500mg,Antipyretic,442,598,512,358,529
2025-01-05,Northern,SKU001,Paracetamol 500mg,Antipyretic,262,307,282,224,301
2025-01-12,Northern,SKU001,Paracetamol 500mg,Antipyretic,291,307,298,252,330
2025-01-19,Northern,SKU001,Paracetamol 500mg,Antipyretic,314,307,311,276,351
2025-01-26,Northern,SKU001,Paracetamol 500mg,Antipyretic,310,307,309,271,349
2025-01-05,Sabaragamuwa,SKU001,Paracetamol 500mg,Antipyretic,101,236,162,71,129
2025-01-12,Sabaragamuwa,SKU001,Paracetamol 500mg,Antipyretic,76,236,148,47,104
2025-01-19,Sabaragamuwa,SKU001,Paracetamol 500mg,Antipyretic,94,236,158,65,126
2025-01-26,Sabaragamuwa,SKU001,Paracetamol 500mg,Antipyretic,123,236,174,91,152
2025-01-05,Southern,SKU001,Paracetamol 500mg,Antipyretic,475,558,513,413,535
2025-01-12,Southern,SKU001,Paracetamol 500mg,Antipyretic,496,558,524,434,559
